Album Art,Artist,Track Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
https://i.scdn.co/image/ab67616d0000b2737b5dacdec4e8cc4ce9b93665,Novelbright,愛とか恋とか,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,audio_features,1VHL1PIkhDwWbFc65xHwOr,spotify:track:1VHL1PIkhDwWbFc65xHwOr,https://api.spotify.com/v1/tracks/1VHL1PIkhDwWbFc65xHwOr,https://api.spotify.com/v1/audio-analysis/1VHL1PIkhDwWbFc65xHwOr,232453,4
https://i.scdn.co/image/ab67616d0000b273b42714a53a2a0d174bda655a,BE:FIRST,Boom Boom Back,0.786,0.776,5,-4.553,0,0.0614,0.0484,0.0,0.0593,0.647,100.006,audio_features,37xJCjdzJ17S1jCDz3GwsB,spotify:track:37xJCjdzJ17S1jCDz3GwsB,https://api.spotify.com/v1/tracks/37xJCjdzJ17S1jCDz3GwsB,https://api.spotify.com/v1/audio-analysis/37xJCjdzJ17S1jCDz3GwsB,188400,4
https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,Ado,私は最強,0.577,0.864,4,-2.92,1,0.0447,0.208,0.0,0.355,0.698,96.04,audio_features,5YQNjKZofFhlBCIzTVY6rW,spotify:track:5YQNjKZofFhlBCIzTVY6rW,https://api.spotify.com/v1/tracks/5YQNjKZofFhlBCIzTVY6rW,https://api.spotify.com/v1/audio-analysis/5YQNjKZofFhlBCIzTVY6rW,257080,4
https://i.scdn.co/image/ab67616d0000b27366f270985ac7ef0bbac815a5,yangskinny,本当はね、,0.59,0.746,11,-5.313,1,0.041,0.178,5.39e-06,0.0594,0.873,102.051,audio_features,5MqZFxSAGTKqnUbBVLlkM5,spotify:track:5MqZFxSAGTKqnUbBVLlkM5,https://api.spotify.com/v1/tracks/5MqZFxSAGTKqnUbBVLlkM5,https://api.spotify.com/v1/audio-analysis/5MqZFxSAGTKqnUbBVLlkM5,201213,4
https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,Yuuri,ドライフラワー,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,audio_features,4kPlQKwtPrnqLgrmmKFSlA,spotify:track:4kPlQKwtPrnqLgrmmKFSlA,https://api.spotify.com/v1/tracks/4kPlQKwtPrnqLgrmmKFSlA,https://api.spotify.com/v1/audio-analysis/4kPlQKwtPrnqLgrmmKFSlA,286360,4
https://i.scdn.co/image/ab67616d0000b2736997d60d0d2319c7a2a7025b,TWICE,MOONLIGHT SUNRISE,0.747,0.782,1,-3.255,1,0.0622,0.384,2.12e-06,0.0862,0.6,125.062,audio_features,21xglza52MZF3At9wsC5HD,spotify:track:21xglza52MZF3At9wsC5HD,https://api.spotify.com/v1/tracks/21xglza52MZF3At9wsC5HD,https://api.spotify.com/v1/audio-analysis/21xglza52MZF3At9wsC5HD,180320,4
https://i.scdn.co/image/ab67616d0000b273ac1a5a83790ba13920affe1e,milet,おもかげ (produced by Vaundy),0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,audio_features,6ts1KCOudfDYXYfyWtq0k1,spotify:track:6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/tracks/6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/audio-analysis/6ts1KCOudfDYXYfyWtq0k1,188060,4
https://i.scdn.co/image/ab67616d0000b27343d214ac51fbf9b72c08f3e6,MAISONdes,トウキョウ・シャンディ・ランデヴ,0.734,0.973,6,-1.789,0,0.0754,0.0435,0.000548,0.0718,0.91,137.024,audio_features,2MmgGuQzr0kkiA04lMdPXW,spotify:track:2MmgGuQzr0kkiA04lMdPXW,https://api.spotify.com/v1/tracks/2MmgGuQzr0kkiA04lMdPXW,https://api.spotify.com/v1/audio-analysis/2MmgGuQzr0kkiA04lMdPXW,184767,4
https://i.scdn.co/image/ab67616d0000b273c5993ff2f059a0a5a7f6270b,YOASOBI,祝福,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045,audio_features,7ajpbW6tBpqUI9foCtwlLw,spotify:track:7ajpbW6tBpqUI9foCtwlLw,https://api.spotify.com/v1/tracks/7ajpbW6tBpqUI9foCtwlLw,https://api.spotify.com/v1/audio-analysis/7ajpbW6tBpqUI9foCtwlLw,196235,4
https://i.scdn.co/image/ab67616d0000b2734ac2e3b0c4363dbf90cb8b79,wacci,恋だろ,0.599,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,audio_features,2j7GjqDtsKbEhVq0Gw6a5Z,spotify:track:2j7GjqDtsKbEhVq0Gw6a5Z,https://api.spotify.com/v1/tracks/2j7GjqDtsKbEhVq0Gw6a5Z,https://api.spotify.com/v1/audio-analysis/2j7GjqDtsKbEhVq0Gw6a5Z,283093,4
https://i.scdn.co/image/ab67616d0000b273a991995542d50a691b9ae5be,LE SSERAFIM,ANTIFRAGILE,0.882,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,audio_features,4fsQ0K37TOXa3hEQfjEic1,spotify:track:4fsQ0K37TOXa3hEQfjEic1,https://api.spotify.com/v1/tracks/4fsQ0K37TOXa3hEQfjEic1,https://api.spotify.com/v1/audio-analysis/4fsQ0K37TOXa3hEQfjEic1,184444,4
https://i.scdn.co/image/ab67616d0000b273b68755a98268d7aa297549d5,Mrs. GREEN APPLE,点描の唄,0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,audio_features,1sIIlVrnPhrvmTrHtzM7tV,spotify:track:1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/tracks/1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/audio-analysis/1sIIlVrnPhrvmTrHtzM7tV,307067,4
